[2026-08-22T12:36:52.834Z] [LOGGED] TO: jane.doe.1787402212685@example.cm | TYPE: application_submitted | SUBJECT: "Application Confirmation #1038 - Liah Academy"
[2026-08-22T14:10:05.130Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T14:10:05.158Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T14:33:23.224Z] [LOGGED] TO: student.audit.1787409203012@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #5422 - Liah Academy"
[2026-08-22T14:33:23.260Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #5422: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-22T14:33:23.352Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T14:33:23.401Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T14:53:10.207Z] [LOGGED] TO: student.audit.1787410389961@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #7822 - Liah Academy"
[2026-08-22T14:53:10.296Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #7822: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-22T14:53:10.466Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-22T14:53:10.511Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-22T15:05:20.887Z] [LOGGED] TO: audit_paid_1787411120668@gmail.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #7716 - Liah Academy"
[2026-08-22T15:05:20.964Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #7716: Payment Audit Student - Software Engineering HND"
[2026-08-22T15:05:34.756Z] [LOGGED] TO: audit_paid_1787411134592@gmail.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #8006 - Liah Academy"
[2026-08-22T15:05:34.792Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #8006: Payment Audit Student - Software Engineering HND"
[2026-08-25T09:00:48.034Z] [LOGGED] TO: student.audit.1787648447530@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #2292 - Liah Academy"
[2026-08-25T09:00:48.076Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #2292: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-25T09:00:48.271Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-25T09:00:48.348Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
[2026-08-25T09:14:26.730Z] [LOGGED] TO: student.audit.1787649266347@liahacademy.com | TYPE: application_submitted | SUBJECT: "Application Confirmation #2203 - Liah Academy"
[2026-08-25T09:14:26.764Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "🚨 [New Application] #2203: Dr. Diagnostic Test - Software Engineering HND"
[2026-08-25T09:14:26.879Z] [LOGGED] TO: partner@techcorp.com | TYPE: inquiry_submitted | SUBJECT: "Inquiry Received: System Check Inquiry - Liah Academy"
[2026-08-25T09:14:26.912Z] [LOGGED] TO: info@liahacademy.com | TYPE: admin_alert | SUBJECT: "📬 [Direct Inquiry] System Check Inquiry (from Corporate Partner Audit)"
